rec_id,pat_nm,mrn,ssn_num,dob,phone,zip_cd,comments,status,amount
R-0001,"Delgado, Maria",MRN-0012345,412-88-7390,1978-03-14,617-555-0143,02149,"left vm, call back after 4pm",active,124.50
R-0002,ROBERT CHEN,0012346,XXX-XX-7391,03/15/1978,(508) 555-0188,02149-1201,"pt states insurance changed, will fax new card",pending,0.00
R-0003,linda whitfield,mrn 12347,512-44-8821,16-Mar-78,+1 781 555 0122,2149,"call daughter Maria Delgado at 617-555-0143",active,89.00
R-0004,"Souza, Ana",A-12348,000-00-0000,1978-03-17,6175550144,02150,"NO SHOW",closed,0.00
R-0005,Dr. Kevin O'Brien,12349,318-55-2094,1978-03-18,Cell: 617-555-0145,02151,"duplicate acct, see MRN 0084412",in review,55.25
R-0006,N/A,MRN-0012350,,0000-00-00,N/A,00000,"returned mail - bad addr",closed,0.00
R-0007,"Peters, Sandra",0012351,999-99-9999,1978-03-20,508-555-0189,02152,"spoke w/ spouse Robert Chen 508-555-0188, ok to leave msg",active,210.75
R-0008,TOMAS RIVERA,mrn 12352,204-66-3311,03/21/1978,(617) 555-0146,02153,,pending,17.40
R-0009,grace kim,A-12353,-,1900-01-01,781-555-0123,02154,"pt ssn on file 412-88-7390 verify at next visit",active,0.00
R-0010,"Alvarez, Hector",12354,455-21-7788,1978-03-23,+1 508 555 0190,02155-0044,"billing q - refer to acct 4471029",in review,340.00
R-0011,Nadia Haddad,MRN-0012355,unknown,1978-03-24,617-555-0147,02156,"emergency contact Linda Whitfield (781) 555-0122",active,62.10
R-0012,"Brennan, Paul",0012356,127-93-4402,03/25/1978,,2156,"consent signed 03/14/2024",closed,0.00
R-0013,ROSA FERRARO,mrn 12357,XXX-XX-4403,26-Mar-78,(781) 555-0124,02157,"pt requests statements to home addr only",active,78.90
R-0014,ellen novak,A-12358,662-14-9903,1978-03-27,000-000-0000,02158,"wrong number, per Ana Souza pt moved to 42 Cross St Lowell",pending,0.00
R-0015,"Adeyemi, Samuel",12359,301-77-5512,1978-03-28,508-555-0191,N/A,"lab results pending, ordered 04/02/2024",active,133.20
R-0016,Priya Bhatt,MRN-0012360,,03/29/1978,617-555-0148,02159,"pt hard of hearing - call son Kevin O'Brien 617-555-0145",active,0.00
R-0017,"Okafor, James",0012361,209-45-6607,1978-03-30,(617) 555-0149,02160,"N/A",closed,44.00
R-0018,RUTH ELLINGTON,mrn 12362,999-12-3456,1978-03-31,781-555-0125,02161-0912,"acct in collections as of 05/01/2024",in review,890.15
R-0019,victor moreau,A-12363,538-22-1140,04/01/1978,+1 617 555 0150,2161,"left msg w/ Rosa Ferraro, will call back",pending,0.00
R-0020,"Rahman, Aisha",12364,-,1978-04-02,508-555-0192,02162,"pt declined to provide ssn",active,27.65
R-0021,Daniel Vasquez,MRN-0012365,174-38-9021,1978-04-03,617-555-0151,02163,"new addr 118 Bright St Somerville, verify zip",active,101.00
R-0022,"Chen, Robert",0012366,XXX-XX-9022,04/04/1978,(508) 555-0193,00000,"see prior note",closed,0.00
R-0023,MARIA DELGADO,mrn 12367,420-51-7734,05-Apr-78,781-555-0126,02164,"emergency contact Nadia Haddad 617-555-0147 - sister",active,215.40
R-0024,ana souza,A-12368,000-00-0000,1978-04-06,,02165,"unable to reach, no vm set up",pending,0.00
R-0025,"Whitfield, Linda",12369,266-90-4418,1978-04-07,617-555-0152,02166,"pt asked for itemized bill",in review,412.80
R-0026,Dr. Grace Kim,MRN-0012370,,04/08/1978,(617) 555-0153,02167-1100,"referral sent to Dr. Paul Brennan",active,0.00
R-0027,"Novak, Ellen",0012371,383-16-2255,1978-04-09,508-555-0194,2167,"pt moved out of state, closing acct",closed,0.00
R-0028,HECTOR ALVAREZ,mrn 12372,unknown,1978-04-10,781-555-0127,02168,"claim denied, resubmit w/ corrected dob",in review,0.00
R-0029,samuel adeyemi,A-12373,591-77-3308,04/11/1978,+1 508 555 0195,02169,"call work line, ask for Grace Kim ext 4412",active,66.30
R-0030,"Kim, Grace",12374,145-62-8890,1978-04-12,617-555-0154,02170,"pt ssn 145-62-8890 confirmed at visit",active,188.00
R-0031,James Okafor,MRN-0012375,XXX-XX-8891,1978-04-13,(781) 555-0128,N/A,"NO SHOW - 2nd occurrence",closed,25.00
R-0032,"Moreau, Victor",0012376,238-04-1176,04/14/1978,508-555-0196,02171,,pending,0.00
R-0033,PRIYA BHATT,mrn 12377,999-45-6789,15-Apr-78,617-555-0155,02172-0300,"spouse Daniel Vasquez authorized to discuss acct",active,73.55
R-0034,paul brennan,A-12378,-,1978-04-16,(617) 555-0156,2172,"bad phone, try 781-555-0129",in review,0.00
R-0035,"Ellington, Ruth",12379,472-33-6614,1978-04-17,781-555-0129,02173,"pt prefers text reminders",active,49.99
R-0036,Aisha Rahman,MRN-0012380,,04/18/1978,,00000,"returned mail - no fwd addr",closed,0.00
R-0037,"Ferraro, Rosa",0012381,315-88-2201,1978-04-19,508-555-0197,02174,"call after 6pm, works days",active,157.20
R-0038,KEVIN O'BRIEN,mrn 12382,000-00-0000,1978-04-20,617-555-0157,02175,"acct merged w/ MRN 0012345",closed,0.00
R-0039,tomas rivera,A-12383,624-19-7743,04/21/1978,(508) 555-0198,02176-0055,"pt disputes charge from 03/14/2024",in review,299.00
R-0040,"Vasquez, Daniel",12384,unknown,1978-04-22,781-555-0130,2176,"left vm w/ Aisha Rahman at 508-555-0192",pending,0.00
R-0041,Sandra Peters,MRN-0012385,187-54-9928,1978-04-23,617-555-0158,02177,"insurance verified 04/23/2024",active,84.15
R-0042,"Bhatt, Priya",0012386,XXX-XX-9929,04/24/1978,,02178,"N/A",closed,0.00
R-0043,ROBERT CHEN,mrn 12387,559-71-3382,25-Apr-78,(617) 555-0159,02179,"pt requests new provider, see Dr. Ruth Ellington",active,0.00
R-0044,linda whitfield,A-12388,-,1978-04-26,508-555-0199,N/A,"duplicate - see rec R-0011",closed,0.00
R-0045,"Rivera, Tomas",12389,208-46-5517,1978-04-27,781-555-0131,02180,"pt ssn on file, do not re-request",active,122.60
R-0046,Ellen Novak,MRN-0012390,,04/28/1978,617-555-0160,02181-0777,"call sister Sandra Peters 508-555-0189 if no answer",active,0.00
R-0047,"Haddad, Nadia",0012391,347-92-6605,1978-04-29,(781) 555-0132,2181,"claim reprocessed 05/02/2024",in review,505.30
R-0048,GRACE KIM,mrn 12392,999-83-1923,04/30/1978,508-555-0200,02182,"pt no longer at this number",pending,0.00
R-0049,hector alvarez,A-12393,411-27-8836,1978-05-01,617-555-0161,02183,"emergency contact James Okafor (617) 555-0149",active,91.45
R-0050,"O'Brien, Kevin",12394,000-00-0000,05/02/1978,,00000,"returned mail",closed,0.00
R-0051,Maria Delgado,MRN-0012395,263-58-1194,1978-05-03,781-555-0133,02184,"pt asked to update dob, currently listed 05/03/1978",active,38.75
R-0052,"Peters, Sandra",0012396,XXX-XX-1195,03-May-78,(508) 555-0201,02185,"see billing note from Victor Moreau",in review,0.00
R-0053,DANIEL VASQUEZ,mrn 12397,522-14-7708,1978-05-04,617-555-0162,02186-0021,"pt requests itemized statement mailed",active,266.90
R-0054,ruth ellington,A-12398,-,05/05/1978,508-555-0202,2186,"no vm, try again",pending,0.00
R-0055,"Alvarez, Hector",12399,196-73-4429,1978-05-06,781-555-0134,02187,"acct current",active,0.00
R-0056,Paul Brennan,MRN-0012400,,1978-05-07,(617) 555-0163,N/A,"pt moved, new addr 77 Elm St Medford 02155",active,144.00
R-0057,"Souza, Ana",0012401,378-21-9950,05/08/1978,617-555-0164,02188,"call daughter Priya Bhatt at 617-555-0155",active,72.30
R-0058,JAMES OKAFOR,mrn 12402,unknown,1978-05-09,,02189,"N/A",closed,0.00
R-0059,aisha rahman,A-12403,604-38-2276,09-May-78,508-555-0203,02190-0888,"pt hard to reach, works nights",pending,0.00
R-0060,"Moreau, Victor",12404,000-00-0000,1978-05-10,781-555-0135,2190,"acct in collections",in review,733.10
R-0061,Rosa Ferraro,MRN-0012405,249-85-3361,05/11/1978,617-555-0165,02191,"consent on file",active,58.20
R-0062,"Kim, Grace",0012406,XXX-XX-3362,1978-05-12,(781) 555-0136,02192,"spouse Hector Alvarez authorized",active,0.00
R-0063,SAMUEL ADEYEMI,mrn 12407,433-60-1187,1978-05-13,508-555-0204,00000,"returned mail - bad zip",closed,0.00
